commodity,month,production
SOYBEANS,Feb,106169061.2361111
SOYBEANS,Mar,6105109.35
SOYBEANS,Apr,13306841.55
SOYBEANS,May,2240966.05
SOYBEANS,Jun,16000870.55
SOYBEANS,Jul,40924111.81666667
SOYBEANS,Aug,14549608.916666668
SOYBEANS,Sep,23093729.166666664
SOYBEANS,Oct,14789416.883333335
SOYBEANS,Nov,76749952.2
SOYBEANS,Dec,16211629.366666665
SUNFLOWER,Jan,17405805.76190476
SUNFLOWER,Feb,10195287.238095237
SUNFLOWER,Mar,65172783.23809524
SUNFLOWER,Apr,375984.86111111107
SUNFLOWER,May,6904012.652777777
SUNFLOWER,Jun,16634050.9
SUNFLOWER,Jul,66633311.43333334
SUNFLOWER,Aug,9976409.75
SUNFLOWER,Sep,90088226.15
SUNFLOWER,Oct,39222657.333333336
SUNFLOWER,Nov,2045099.6666666667
SUNFLOWER,Dec,7278610.458333333
TOBACCO,Jan,5908524.263888888
TOBACCO,Feb,10366698.666666666
TOBACCO,Mar,6011176.916666666
TOBACCO,Apr,9386660.3
TOBACCO,May,2674803.083333333
TOBACCO,Jun,2231326.883333334
TOBACCO,Jul,4151907.7333333334
TOBACCO,Aug,2916916.05
TOBACCO,Sep,1825122.4666666668
TOBACCO,Oct,1315240.4666666666
TOBACCO,Nov,2732869.416666667
TOBACCO,Dec,983795.1833333333
WHEAT,Jan,20971632.324074075
WHEAT,Feb,30922928.148148146
WHEAT,Mar,9703767.175925927
WHEAT,Apr,7074746.481481481
WHEAT,May,15964258.759259257
WHEAT,Jun,8097940.552083333
WHEAT,Jul,15316238.802083334
WHEAT,Aug,4970731.302083333
WHEAT,Sep,6617350.552083333
WHEAT,Oct,6344122.145833334
WHEAT,Nov,18182745.010416664
WHEAT,Dec,6182631.84375
